62
-----
a o-
A o-
b -ooo
B -ooo
c -o-o
C -o-o
d -oo
D -oo
e o
E o
f oo-o
F oo-o
g --o
G --o
h oooo
H oooo
i oo
I oo
j o---
J o---
k -o-
K -o-
l o-oo
L o-oo
m --
M --
n -o
N -o
o ---
O ---
p o--o
P o--o
q --o-
Q --o-
r o-o
R o-o
s ooo
S ooo
t -
T - 
u oo-
U oo-
v ooo-
V ooo-
w o--
W o--
x -oo-
X -oo-
y -o--
Y -o--
z --oo
Z --oo
1 o----
2 oo---
3 ooo--
4 oooo-
5 ooooo
6 -oooo
7 --ooo
8 ---oo
9 ----o
0 -----
